id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
83231,44426,Battle Commander: Hachibushu Shura no Heihou,NULL,1991-12-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
111083,49148,Battle Dodge Ball: Toukyuu Daigekitotsu!,NULL,1991-07-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
99308,4470,Battle Golfer Yui,NULL,1991-02-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120510,9030,Battle Isle,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129244,7772,Battle of Kingdom,NULL,1991-12-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120062,48585,Battle Stadium: Senbatsu Pro Yakyuu,NULL,1991-01-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
154344,77147,Battleship,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
119704,136619,Battletoads,"While partying on Lost Vega, a deep-space leisure station, the three Battletoads - Zitz, Rash and Pimple, get pleasantly side-tracked by a Thallian Thorax Dancer. Unfortunately, the dancer isn't what she appears to be - and soon reveals herself as the evil Dark Queen!

The 'toads fight valiantly against overwhelming odds, but are eventually overpowered. Yet, all is not lost! Although Rash and Pimple are taken prisoner, Zitz makes it to the Toadster and burns space back to the Vulture and Professor T. Bird, the Battletoads' mentor. Rash and Pimple are taken away in the Gargantua to the planet Armagedda, but luckily Zitz and the Professor are hot on their trail...

So there's the situation, Zitz: the Dark Queen's 'toadnapped your best buddies - what're ya gonna do about it? You're gonna get real MAD, that's what you're gonna do - and then you're gonna get EVEN!

Professor Bird's gonna set you down on Armagedda, but from then on it's up to you. You've got a long way to go, Zitz - into caverns, across swamps and even through the belly of the dreaded Wurm. And ultimately, of course, you're gonna have to defeat the terrible, the towering, the truly 'toadsplatting Robo-Manus mutant!

Have you got what it takes to be a bona-fide Battletoad? We'll soon see, one way or another...",1991-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
186128,2970,Battletoads,"Fresh from her recent defeat at the Battle of Canis Major, the Dark Queen decides to take out her aggressions on her archenemies, the Battletoads. The 'Toads and their mentor, Professor T-Bird, are currently escorting Princess Angelica home to her father, the Terran Emperor. During a rest stop, Pimple takes Angelica out for a drive in the Toadster, but the vehicle and its occupants are swallowed up by the Dark Queen's ship, the Gargantua, and taken to her tower on planet Ragnarok.
Rash and Zitz are quickly sent down to Ragnarok's surface to rescue their friends, unaware of the dangers that await them, but willing to chance it all on their rescue mission.",1991-06-01 00:00:00.000,26,NULL,NULL,NULL,77.6190,98
23658,46239,Beast Wrestler,NULL,1991-11-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
182061,39878,Bells & Whistles,"Set several years after the events of the original TwinBee, TwinBee and WinBee are relaxing at their island when they receive an SOS signal from the distant planet of Meru. The signal contains a message sent by Queen Melora, who pleads for the salvation of her planet from the invading forces of the evil alien Iva. TwinBee and his friends decides to set off to outer space to defeat the forces of Iva and save Planet Meru.",1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
185208,46322,Berlin no Kabe,NULL,1991-11-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34221,62531,Berlitz Spanish Translator,NULL,1991-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116486,48724,Best Keiba Derby Stallion,NULL,1991-12-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
106821,85948,Bicycle Solitaire,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120361,135641,Big Blue Disk #54,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
123104,14300,Big Business,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
111820,12403,Big Game Fishing,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
48526,39614,Big Karnak,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
138816,11960,Big Nose the Caveman,"Long, long time ago (but not necessarily in a galaxy far, far away), there was a caveman named Big Nose. One day he went out of his cave and saw a pterodactyl flying around. ""That will be my dinner"", - thought Big Nose, took out his trusty club and ran after the winged reptile. Naturally, his quest for nutrition became much longer and more dangerous than he had ever imagined...",1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
143078,175897,Bill & Ted's Excellent Adventure,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
132154,7784,Bill & Ted's Excellent Game Boy Adventure: A Bogus Journey!,NULL,1991-08-01 00:00:00.000,NULL,NULL,NULL,NULL,75.0000,2
63701,155412,Bill & Ted's Excellent Video Game Adventure,NULL,1991-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108043,7785,Bill Elliott's NASCAR Challenge,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116441,73154,Bill Elliott's NASCAR Fast Tracks,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6855,46002,Bill Laimbeer's Combat Basketball,NULL,1991-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
88216,14305,Billiards II Simulator,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
67823,11962,Birds of Prey,NULL,1991-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
169029,39820,Black Heart,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5560,14309,Black Hornet,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69468,10458,Blade Master,NULL,1991-02-01 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
24259,14313,Blade Warrior,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120132,7790,Blaster Master Jr.,NULL,1991-08-23 00:00:00.000,NULL,NULL,NULL,NULL,71.0000,2
17161,13407,Blazing Thunder,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25884,15702,Blitzkrieg May 1940,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
135418,46763,Block Block,NULL,1991-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96610,14321,Block Shock: The Last Chance,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
147048,45645,Blue Almanac,NULL,1991-07-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77891,11972,Blue Max: Aces of the Great War,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
48793,39653,Blue's Journey,NULL,1991-01-14 00:00:00.000,NULL,NULL,NULL,NULL,68.9341,7
97732,48962,Bo Jackson: Two Games in One,NULL,1991-07-01 00:00:00.000,NULL,NULL,NULL,NULL,57.0000,0
184539,3447,Bomberman II,"The player controls White Bomberman, who is framed for the terrible crimes committed by Black Bomberman. After being accused of robbing a bank, White Bomberman is thrown in jail. The player must navigate White Bomberman through a series of puzzles to escape his prison cell and bring Black Bomberman to justice.",1991-06-28 00:00:00.000,4,NULL,80.0000,3,81.4168,17
174488,7795,Bonk's Revenge,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,77.0000,4
122031,12406,Booly,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
32225,152003,Boomerang Kid,The Boomerang Kid must retrieve all of his boomerangs scattered throughout the outback.,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112771,10865,Boston Bomb Club,NULL,1991-03-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
54524,46857,Bouncing Ball,NULL,1991-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94270,40271,Bowl-O-Rama,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98243,221888,Box Forum,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
170608,92265,Brain Bender,NULL,1991-11-01 00:00:00.000,NULL,NULL,NULL,NULL,47.0000,0
143897,16289,Brandish,NULL,1991-10-25 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
72549,14343,Brat,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
